id,title,authors,publisher,publish_date,page_count,categories,ISBN,imageLink,description
h56ansk4SyQC,Python: A Study of Delphic Myth and Its Origins,Joseph Eddy Fontenrose,Biblo & Tannen Publishers,1974,616,Social Science,9780819602855,http://books.google.com/books/content?id=h56ansk4SyQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,
carqdIdfVlYC,Python,Chris Fehily,Peachpit Press,2002,410,Computers,9780201748840,http://books.google.com/books/content?id=carqdIdfVlYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"The quick and easy way to master Python for Internet and Intranet programming with this visual, step-by-step guide to the popular Python programming language. This guide contains cross-platform coverage for the Mac, Windows, and Unix environments as it teaches techniques for cookies, session management, and integration with XML."
aJQILlLxRmAC,Python Programming: An Introduction to Computer Science,John M. Zelle,"Franklin, Beedle & Associates, Inc.",2004,517,Computers,9781887902991,http://books.google.com/books/content?id=aJQILlLxRmAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0. It is difficult for many students to master basic concepts in computer science and programming. A large portion of the confusion can be blamed on the complexity of the tools and materials that are traditionally used to teach CS1 and CS2. This textbook was written with a single overarching goal: to present the core concepts of computer science as simply as possible without being simplistic."
YEoiYr4H2A0C,Python Scripting for Computational Science,Hans Petter Langtangen,Springer Science & Business Media,2009-01-09,756,Computers,9783540739159,http://books.google.com/books/content?id=YEoiYr4H2A0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"With a primary focus on examples and applications of relevance to computational scientists, this brilliantly useful book shows computational scientists how to develop tailored, flexible, and human-efficient working environments built from small scripts written in the easy-to-learn, high-level Python language. All the tools and examples in this book are open source codes. This third edition features lots of new material. It is also released after a comprehensive reorganization of the text. The author has inserted improved examples and tools and updated information, as well as correcting any errors that crept in to the first imprint."
yhfdQgq8JF4C,Python Cookbook,"Alex Martelli,David Ascher","""O'Reilly Media, Inc.""",2002,574,Computers,9780596001674,http://books.google.com/books/content?id=yhfdQgq8JF4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"Demonstrates the programming language's strength as a Web development tool, covering syntax, data types, built-ins, the Python standard module library, and real world examples."
fzUCGtyg0MMC,Python Programming On Win32: Help for Windows Programmers,"Mark Hammond,Andy Robinson","""O'Reilly Media, Inc.""",2000,652,Computers,9781565926219,http://books.google.com/books/content?id=fzUCGtyg0MMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,A demonstration of Python's basic technologies showcases the programming language's possiblities as a Windows development and administration tool.
9SG1r8EJawIC,Numerical Methods in Engineering with Python,Jaan Kiusalaas,Cambridge University Press,2010-01-29,422,Technology & Engineering,9781139484152,http://books.google.com/books/content?id=9SG1r8EJawIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"This text is for engineering students and a reference for practising engineers, especially those who wish to explore Python. This new edition features 18 additional exercises and the addition of rational function interpolation. Brent's method of root finding was replaced by Ridder's method, and the Fletcher-Reeves method of optimization was dropped in favor of the downhill simplex method. Each numerical method is explained in detail, and its shortcomings are pointed out. The examples that follow individual topics fall into two categories: hand computations that illustrate the inner workings of the method and small programs that show how the computer code is utilized in solving a problem. This second edition also includes more robust computer code with each method, which is available on the book website. This code is made simple and easy to understand by avoiding complex bookkeeping schemes, while maintaining the essential features of the method."
GxKWdn7u4w8C,Text Processing in Python,David Mertz,Addison-Wesley Professional,2003,520,Computers,9780321112545,http://books.google.com/books/content?id=GxKWdn7u4w8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"bull; Demonstrates how Python is the perfect language for text-processing functions. bull; Provides practical pointers and tips that emphasize efficient, flexible, and maintainable approaches to text-processing challenges. bull; Helps programmers develop solutions for dealing with the increasing amounts of data with which we are all inundated."
Chr1NDlUcI8C,Python Essential Reference,David M. Beazley,Addison-Wesley Professional,2009,717,Computers,9780672329784,http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,Presents a guide to the features and library modules of the Python programming language.
754knV_fyf8C,Python Power!: The Comprehensive Guide,Matthew A. Telles,Course Technology PTR,2008,508,Computers,9781598631586,http://books.google.com/books/content?id=754knV_fyf8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,"A guide to the Python computer language covers such topics as data types, control flow, functions and modules, exception handling, the GUI library, and input and output functionality."
